CardID,CardNumber,AccountID,IssueDate,ExpiryDate,CardType,PINHash,Status
1,9704102315730159,2,2026-01-28,2031-01-27,ATM,7f28fe2880989328fede8596977d07a840b709f7af0155ecde7728b888b30107,Active
2,9704777119621149,3,2026-03-31,2031-03-30,Debit,327814e69aa70d3b8c1f4f1f123c1048ace2c10653dbd3228e1c961988012a55,Active
3,9704224066449081,4,2025-04-25,2030-04-24,ATM,855de45c760d01a7763dd48d2e10f7c22b17635c052d7c99cb811a937666d305,Active
4,9704380230912578,5,2026-02-11,2031-02-10,Debit,bceddb8f4149d348f4ed926172d7c1cae6e4ca39f846211dbb1047c8aefca3b1,Active
5,9704970549787904,6,2026-02-16,2031-02-15,Debit,807d89a81a94b8de872e3a11e0a0b04a9ed8878a37ba958134ae674f843b1244,Expired
6,9704280879284719,7,2025-02-14,2030-02-13,ATM,b9dfa0ec4eadec9dc7a428cb8344a929ced6b9c31c490d833090d2f0edc7c9cc,Active
7,9704689123628474,8,2026-03-13,2031-03-12,Debit,3e2796f11f2dd070602e9b39e213d117254b7d490d40cad6ffc6ea9ebb84a9e6,Active
8,9704309733579712,10,2025-12-15,2030-12-14,Debit,0f5eeee11188609e2d6bfb65fdd58aa1fbe68898e68124642b5a18bef41eae19,Active
9,9704700914523649,11,2025-12-21,2030-12-20,Debit,67c769278857c102aabd869f36ac8278d3fb17820dd7c08de133241852291525,Active
10,9704846795356235,14,2026-03-05,2031-03-04,Debit,1c968b65e374da06c3400fd4354bea2c28a392d1ecb35c3466c360a00079b556,Active
11,9704997251081116,15,2026-02-19,2031-02-18,ATM,fb5a7063db677a858938963341f8bdfa59853d88faa5e5adc4ba3374f8772da5,Active
12,9704970519249055,16,2026-03-17,2031-03-16,ATM,22c7aa5fd8d37dc831cf91c7d5a80b8f65a95e28842dd364e06680d82d121bd8,Active
13,9704036760737427,17,2026-02-18,2031-02-17,Debit,d39f54925583b3b2c5bae2f3bc99e11fce2074b7753e127d88f9b435450daa16,Active
14,9704187424431950,18,2025-06-05,2030-06-04,Debit,07fec0ca6deb5bc0ca4d1b15353cbf4ff68150e24af1cb512db2c4e47292d2e8,Blocked
15,9704160371513894,19,2025-09-01,2030-08-31,Debit,36c958833643a0b9364513927985ecb44d2da28cf022580502ecbf5f25e98258,Active
16,9704744471487690,20,2026-03-31,2031-03-30,ATM,21055feaed8a1cc52c2d9ae96c8ff2bf14422f4c81d10b7dcd071d8c44d0a121,Active
17,9704565021670258,21,2025-09-28,2030-09-27,Debit,334cdc10a97d04297cd6a481d14c75b0d5ca0558aeb623a56bbd969db84a8f6d,Active
18,9704808732687585,22,2025-06-27,2030-06-26,ATM,7897bf811db35bd6f029560ecce413f805f1e1fb6f09f1d5c4b1f2fb30781e2a,Expired
19,9704155253978603,23,2025-04-01,2030-03-31,ATM,a40f4350da1713a31e26d662effe76ee8b2fdd0aee5e8520ca7ad602d55e4182,Active
20,9704857962877141,24,2025-07-09,2030-07-08,ATM,a078f7dbcefb579ba53178d9f94db0dc5e62ca02b90f8dc3d5444a609051b83c,Active
21,9704741013026571,25,2025-06-18,2030-06-17,ATM,bbcf275cdaf24fba3205683fd58bf621a7fe0e1390657b495c5fb5e79d49b197,Expired
22,9704084846926016,27,2025-04-03,2030-04-02,Debit,f0454135a896558770ac8663b8983606a77c8688b7e3f695609bbf05fed0e1fc,Active
23,9704840610097513,28,2026-03-11,2031-03-10,Debit,6e5a0e560471e36c0aa6501e0882a56f9eb2df4dad3d49c14081ea41acdea754,Active
24,9704828850369866,29,2025-10-17,2030-10-16,Debit,7c6a92f8f0b4a5df1400d9713f24ca923b5cc09b0697444870a23dba3fb51448,Active
25,9704487981588586,30,2026-03-23,2031-03-22,Debit,308226291bf25122008b7910baeae93339e9984e7f4e0b1df07885e7c58dddd8,Active
26,9704568997714259,31,2026-03-19,2031-03-18,Debit,f4a00a6ce6925823c336d8c102d4ea025bf6ce63c894616ff65b3cb67e965558,Active
27,9704672260559317,32,2026-03-31,2031-03-30,Debit,1750dd1f870295823d2e6977d6ccc4dc337a7843709c37c2fb433837d03351f9,Active
28,9704774840077816,33,2026-03-16,2031-03-15,Debit,157029e9b1862bd91acca2893b74d603e3415c0b540ff958ad24ded9b3aebd2e,Blocked
29,9704644445194865,35,2025-07-17,2030-07-16,ATM,050efa215e26e5a53ac5adcfd6bac9194f16f2151858c5fd9626bab660650a5a,Active
30,9704981339331850,36,2026-02-06,2031-02-05,ATM,a3a9888b6f86da9285664b4e76729cf693a186a0fea668d941eae813db214572,Active
31,9704581366604218,37,2026-03-07,2031-03-06,Debit,ff5ae9e75f4ee32c2c6d67e32f0e7b002896f907b5d4ab99643a3e051dab38af,Active
32,9704745904645553,38,2024-11-18,2029-11-17,ATM,7ab8819034ba79775757572e3484b624146e96456114a9161b110c71fa42af65,Active
