CustomerOnlineAccountID,CustomerID,Username,PasswordHash,LastLogin,IsActive,RegisteredDate
1,1,ng.quc.sn.1,054de311ed040be47336f105190751aaed629b7e127593c2bde5d97229d8389e,2025-09-16 00:00:00,1,2025-08-18 00:00:00
2,2,hunh.th.long.2,ced9bb677a35528709430b1df4dabc97535994193c0ca53247a819d36b3cb344,2026-04-27 00:00:00,1,2026-03-29 00:00:00
3,3,phan.gia.phc.3,bd6192fc7f55744a64c44115826d654505653b2a076826b9bbc3d720043cd5e9,2024-03-26 00:00:00,1,2024-02-26 00:00:00
4,4,hong.gia.khnh.4,7fd02689a80ca110a0b8fc06d3e3f1a0d659b9d9e76802ca0ffdafd460afd905,2024-09-13 00:00:00,1,2024-08-15 00:00:00
5,5,v.anh.qun.5,642c0800e407e0f3b1aeee4eed0e265ddd9269f61cc2993a6cc362e2d42bb977,,1,2025-12-24 00:00:00
6,6,phm.thanh.ngn.6,697ebfb64643fec55a1ff0fd40edf5ad5f470ccec70842e1b4a7e1a1eabcbe9b,2025-05-04 00:00:00,1,2025-04-05 00:00:00
7,10,ng.c.sn.10,bc752ee2d935d01b5d09de017a1025cd8458d6c4afad40bd3fdaf809c055d0ea,,1,2025-09-27 00:00:00
8,11,l.thanh.phc.11,25f32f0182b855b4606f44bce08cb979ebee0930f61a0469369a3ab106344c92,2026-03-01 00:00:00,1,2026-01-31 00:00:00
9,12,trn.c.chu.12,fd4822731a44627046ceaf9b3d442baeca0d1ed1c4fbeccf4f7476801acd02c0,2024-03-04 00:00:00,1,2024-02-04 00:00:00
10,13,nguyn.anh.giang.13,86ca1b35f3e82194a16fc45afb95d103e59d963b61e8ed1707158a15090d542b,2025-02-23 00:00:00,1,2025-01-25 00:00:00
11,14,v.gia.nam.14,7206a04cf3cc2ec0c29b1a555f736f3387dc95815fbef62a0fea8b0299a56b1f,2024-07-18 00:00:00,1,2024-06-19 00:00:00
12,15,v.kim.long.15,114c324176317f6dca432f651003b7239a69953e925d8c8eb4bf47ab020d72b9,,1,2024-05-06 00:00:00
13,16,trn.hu.phc.16,d3dba2216e6aa94476d20154640505869a425d6112af4c551fef46227abdef61,2024-12-30 00:00:00,1,2024-12-01 00:00:00
14,20,hunh.minh.khnh.20,c995d577cb6e310bccb6f0e9feba9da82e7ead8bc5555f47781b2d0a7b1bba13,,1,2025-05-19 00:00:00
15,21,hong.hu.qun.21,93507912f4eca8a9568c694783b0e1d6e6c3a897baa2f3c032f6720f357907ac,2026-02-24 00:00:00,1,2026-01-26 00:00:00
16,22,l.thanh.nga.22,fd77ed15fcbd8045b79362b5557e104449f0a2f8b56ed3651957e135e8d1c447,2026-03-18 00:00:00,1,2026-02-17 00:00:00
17,23,l.xun.long.23,304887df7dc41953ad7ef3725e68ddc02ba46a9fe93a7efdba2e4a7b26de5ed6,2024-06-15 00:00:00,1,2024-05-17 00:00:00
18,24,dng.gia.khnh.24,27fcc6797d15f98adbfd00a6f0eb2ed10f9c5fed1414649babdf91ee90656c64,2025-02-01 00:00:00,1,2025-01-03 00:00:00
19,25,bi.hu.phong.25,5f9d32e37028ad193cfc5c1d17462ff7fe05a3950fc5febd02eecbbbf5d0ea33,,1,2025-05-07 00:00:00
20,26,ng.xun.nam.26,a35ab2922ad24c700ac674cd04626d494d41f366d3ded4bdbb5345324709e273,2026-01-18 00:00:00,1,2025-12-20 00:00:00
21,30,l.xun.lm.30,b0ae0b7b72a65e7c32bdad277ee9a632f9531ed29a7125b88c1da470be8ead7a,,1,2024-09-10 00:00:00
22,31,hong.c.yn.31,6cdcd721550be7bbd5b1afd4c40dd0e7e6edefc671fadc1e96a9240ac4f143ab,2025-08-24 00:00:00,1,2025-07-26 00:00:00
23,32,ngc.dng.32,7c5d6dfffa0bfa0057a7612bba96f10c785fc935ca40426e0446813cf0ec085f,2024-06-09 00:00:00,1,2024-05-11 00:00:00
24,33,hunh.quc.an.33,1ec6578eee7758b7bd5b0e007d471aeb90b7b182ade2914f7d8aa11870edda70,2024-07-02 00:00:00,1,2024-06-03 00:00:00
25,34,v.kim.phong.34,30dba91ec50c7cdfb70ab851b1104691e3640684b1703e1689fd16c19919586d,2025-11-18 00:00:00,1,2025-10-20 00:00:00
