UserID,EmployeeID,Username,PasswordHash,LastLogin,IsActive
1,1,v.anh.trang.1,9cc3e5abdfaee198a6b74b97ea91e306e1744ddf49876d3dcf6cb936dfd5c9d7,2026-03-12 09:31:07,1
2,2,phan.xun.long.2,3d673f28b35199c69e9a5d9cfb863771378332da1aaa24f21991c86ebef00c09,2025-07-14 04:30:25,1
3,3,v.th.phc.3,ed275197b0970a3d00e3e11c805c28d77857c8c13e17f830b60f8bb474ba29cb,2024-04-22 01:14:45,1
4,4,ng.anh.hnh.4,d4e8bc5ff124bc108884c0c22e463b3cd35a2ce872cf14b7f3ba09b6fa9dd361,2024-08-26 10:47:01,1
5,5,ng.xun.linh.5,8bf56f7302a67e106b595bc3fcbf78abc091c02277e1cb7e5869172b71fc2268,2025-02-15 14:36:37,1
6,6,ng.quc.an.6,61838b3fdd95bfee0315f78c6ec144662fc9c89520e215c6ef47cc96236894f4,2024-03-08 16:22:07,1
7,7,h.thanh.hi.7,9812d6317a117976af2d6045c249818ff5c1d23435706119f046c7a42c95a806,2024-04-08 07:56:30,1
8,8,v.c.giang.8,781982b02930cca4379f8bca394d23b566c5b7fb8cd385e84201cf929388f9c1,2024-05-22 16:26:26,1
9,9,ng.quc.h.9,0b851d9c1604533b8f3994c2744f2e74d3b8299ef9a61149c6ddccbb4056f221,2025-03-25 10:26:06,1
10,10,v.minh.hi.10,0a021420388e29d06c88450d75d39a945f01541901bd8e9ff88f3df6e46b7900,2025-09-29 03:50:52,1
11,11,trn.xun.chu.11,03c0d9d083c4c16b9a60ed2be6fa5aec21f6c9f54219c0391fc310e75f444cf4,2025-11-21 23:18:48,1
12,12,phm.anh.lm.12,f865910c2cfec3f576571dddc010cc313f9021847993d27b8842f9f9f16904a9,2024-05-02 00:03:33,1
13,13,dng.th.hnh.13,2380603f9916cc98a6f54ec2296b1bc6df882a2fdb8f0f759a1d6a93330f01a5,2025-03-26 06:32:15,1
14,14,dng.th.trang.14,0b5b932bfe1fbd28c5fbddbfb43c11a8d2fedda5d26a747919941cd60d500314,2025-04-15 20:02:31,1
15,15,hong.vn.an.15,67e152b191fe09a39c301e5616ef33ff9ad21a0a8bf080757e7502d3855d06ed,2024-12-21 17:16:03,1
16,16,l.thanh.giang.16,411fa706c24fdd88c502dacbfab2939555815ea502f89153f897d75227b0f3d0,2025-02-18 13:31:07,1
17,17,ng.minh.vy.17,656b5a453d525216d85fc061b6202e26615e8b0ccfa3dd5065cc9e95b07140fe,2024-10-06 00:20:50,1
18,18,ng.c.hnh.18,9fbf691a3e37bdc91a921ad8fd3b34d04c253dcbfe0819ca6b2b7871488fc1c7,2025-05-23 20:32:11,1
19,19,phan.hu.yn.19,320da1fd1914a027659118f789e5031382f806a4ce9c7fef5c7d8a104cb36af6,2025-10-03 05:12:09,0
20,20,trn.thanh.ngn.20,372f2a4b31b109c5cc653c20c7f380628f44a0f2d62e0d2d49b62e713dc95bd4,2024-03-01 00:17:19,1
21,21,ng.th.trang.21,a20feb9d176b66145ef0ca802a8f83f90289704faa5df088021fe0fffb9e4774,2024-04-08 00:46:42,1
22,22,phan.ngc.yn.22,8081b3ff3ba6ab60593a7c179db7cd6972e97cd194caf74be8a5b455d1efed12,2025-06-23 10:54:18,1
